iter	MultiClass
0	2.47580639
1	2.397792441
2	2.3364594
3	2.268476635
4	2.202752413
5	2.146612622
6	2.109170266
7	2.063644914
8	2.023782318
9	1.986721768
10	1.961863633
11	1.93476572
12	1.901364803
13	1.877682447
14	1.857102912
15	1.83699209
16	1.802918055
17	1.785917459
18	1.766616668
19	1.748229469
20	1.732501298
21	1.709227771
22	1.697414299
23	1.682086989
24	1.669043312
25	1.65824751
26	1.650333371
27	1.633349061
28	1.612486883
29	1.598237448
30	1.589199153
31	1.579462119
32	1.567536145
33	1.557065432
34	1.548041802
35	1.53760053
36	1.524123465
37	1.51757473
38	1.507785685
39	1.493330701
40	1.482004053
41	1.468939629
42	1.460279884
43	1.450358927
44	1.438927437
45	1.432603896
46	1.424500858
47	1.419339104
48	1.407547803
49	1.396208737
50	1.388926653
51	1.381563175
52	1.364983029
53	1.35245507
54	1.34746369
55	1.340284533
56	1.333753642
57	1.321489896
58	1.314585343
59	1.308632351
60	1.301589281
61	1.294186388
62	1.288299114
63	1.284031949
64	1.275463469
65	1.267217481
66	1.258484265
67	1.249803683
68	1.24345303
69	1.237612317
70	1.233276961
71	1.228665009
72	1.220600808
73	1.213791863
74	1.205153887
75	1.198154797
76	1.189923855
77	1.183581553
78	1.175942797
79	1.170256371
80	1.160894787
81	1.157221504
82	1.149324862
83	1.14157377
84	1.131059025
85	1.12498516
86	1.114208586
87	1.107873837
88	1.100340598
89	1.0966737
90	1.091132463
91	1.083912953
92	1.075999777
93	1.070438295
94	1.067803953
95	1.063840363
96	1.057492757
97	1.050982483
98	1.041409791
99	1.034918224
100	1.028648076
101	1.021350802
102	1.014477114
103	1.004290418
104	0.9986219644
105	0.9956809664
106	0.9873110465
107	0.9820055477
108	0.976502031
109	0.9687423697
110	0.9618253677
111	0.9569259755
112	0.9510891012
113	0.9444730817
114	0.9394391482
115	0.9330879128
116	0.9301460043
117	0.925488217
118	0.9210016179
119	0.9176540876
120	0.9143862271
121	0.9073333359
122	0.9021249503
123	0.8968579389
124	0.8924122984
125	0.8890323453
126	0.8841930434
127	0.8809097364
128	0.878959845
129	0.8754179161
130	0.8728137643
131	0.8699258738
132	0.8671998655
133	0.8646236903
134	0.8622210112
135	0.857250438
136	0.8529541005
137	0.8489953274
138	0.8448952009
139	0.8417860259
140	0.8381093327
141	0.8350364574
142	0.8312946348
143	0.8279136325
144	0.8242969752
145	0.8193454391
146	0.8147977685
147	0.8114055671
148	0.807245124
149	0.8040790458
150	0.8004126562
151	0.7957843302
152	0.7932798957
153	0.7880279942
154	0.7839597612
155	0.7815953298
156	0.7777374556
157	0.7750691432
158	0.7701089194
159	0.7657535459
160	0.7639487232
161	0.761621633
162	0.7581045364
163	0.7538871334
164	0.749130396
165	0.7459249079
166	0.7411829946
167	0.739008287
168	0.7356702141
169	0.732135758
170	0.7281127163
171	0.7238357224
172	0.7215980698
173	0.7191378436
174	0.7167272769
175	0.7132400942
176	0.7114093183
177	0.7096634393
178	0.7065578924
179	0.7045844296
180	0.7030737217
181	0.6997332303
182	0.6973444757
183	0.6956054592
184	0.6924741922
185	0.6913825998
186	0.6897572092
187	0.6871405585
188	0.6858246888
189	0.6835052345
190	0.6813858613
191	0.6786282307
192	0.6761571283
193	0.674209494
194	0.6733057343
195	0.6714314794
196	0.6678046943
197	0.6647293466
198	0.6633549225
199	0.6620334957
